Compétence Visée;Compétences Acquises;Méthode d'apprentissage;Niveau
Innovation and humanity;;;;
Manage an innovative project;;;;
Solve a problem in a creative way;+ Capable d'utiliser mes connaissances acquises au cours de ma formation et expériences pour proposer une solution technologique et innovante à un problème;Formation Initiale;3;
Develop the first stage of innovation;+ Capable d'analyser un problème afin de trouver des voix d'évolutions permettant d'améliorer un produit ou service;Formation Initiale;3;
Understand production, validation, distribution, acceptability, and aftermath of innovation;+ Comprend les différentes étapes du processus d'innovation et les enjeux associés;Formation Initiale;3;
Structure and lead an innovative project;+ Capable de planifier et organizer un projet innovant;Formation Initiale;4;
Learn teamwork;;;;
Multi-disciplinary students work as a team;+ Capable de travailler, échanger et expliquer des idées avec des personnes ayant une formation différente de la mienne;Formation Initiale + Pratique Professionnelle;4;
Be convincing: present and defend an idea;+ Capable de partager une idée et de convaincre les personnes avec qui je travail afin de proposer une nouvelle solution;Formation Initiale + Pratique Professionnelle;4;
Express and exchange hypotheses;+ Capable de partager et débattre autour d'un problème avec d'autre personne afin de définir la meilleur solution à un problème;Formation Initiale + Pratique Professionnelle;4;
Suggest a strategy to solve the problem identified;+ Capable d'expliquer de façon clair et compréhensible par tout le monde une solution ou stratégie;Formation Initiale + Pratique Professionnelle;4;
Suggest a model;+ Capable de présenter de façon clair et précise un model;Formation Initiale + Pratique Professionnelle;4;
Choose, design and / or justify a protocol or an experimental prototype;+ Capable de définir un protocole ou prototype afin de démontrer la faisabilité d'une solution;Formation Initiale + Pratique Professionnelle;4;
Self evaluation with portfolio;;;;
Reflect upon my training process and methods;+ Capable de prendre du recul afin d'extraire et identifier les compétences acquises et manquantes;;3;
Be able to put forward my training experiences, whether they be explicit or implicit;+ Capable d'identifier et nommer les différentes compétences acquises au cours de ma formation;;3;
Be self-sufficient and responsible towards my education;+ Capable de m'autoformer ou d'aller chercher des compétences manquantes afin de pouvoir avancer dans mes études|+ Capable de m'organiser afin de réussir au mieux mes études;;4;
